Prover,N,Time
Pico-AVX512 Groth16,100,29.0s
SP1-AVX512,100,53.8s
SP1-AVX512-Groth16,100,1m56.0s
Pico-AVX512 Groth16,1000,29.1s
SP1-AVX512,1000,54.1s
SP1-AVX512-Groth16,1000,1m56.8s
Pico-AVX512 Groth16,10000,29.9s
SP1-AVX512,10000,54.6s
SP1-AVX512-Groth16,10000,1m56.3s
Pico-AVX512 Groth16,100000,39.7s
SP1-AVX512,100000,1m3.3s
SP1-AVX512-Groth16,100000,2m6.0s
Pico-AVX512 Groth16,1000000,1m45.3s
SP1-AVX512,1000000,2m23.3s
SP1-AVX512-Groth16,1000000,3m28.4s
Pico-AVX512 Groth16,10000000,12m20.4s
SP1-AVX512,10000000,19m53.3s
SP1-AVX512-Groth16,10000000,21m6.0s
Risc0,100,33.4s
Risc0,1000,34.3s
Risc0,10000,44.2s
Risc0,100000,2m20.1s
Risc0,1000000,16m47.0s
Risc0,10000000,158m15.4s
