Prover,N,Time
Pico Groth16,1,33.0s
SP1-AVX2,1,55.5s
SP1-AVX2-Groth16,1,55.7s
Risc0,1,22.4s
Pico Groth16,10,33.2s
SP1-AVX2,10,55.4s
SP1-AVX2-Groth16,10,55.5s
Risc0,10,22.5s
Pico Groth16,100,33.4s
SP1-AVX2,100,56.0s
SP1-AVX2-Groth16,100,55.4s
Risc0,100,22.5s
Pico Groth16,1000,33.5s
SP1-AVX2,1000,55.4s
SP1-AVX2-Groth16,1000,56.4s
Risc0,1000,27.0s
Pico Groth16,10000,34.6s
SP1-AVX2,10000,55.3s
SP1-AVX2-Groth16,10000,55.7s
Risc0,10000,58.0s
Pico Groth16,100000,47.6s
SP1-AVX2,100000,1m6.7s
SP1-AVX2-Groth16,100000,1m6.2s
Risc0,100000,6m35.5s
Pico Groth16,1000000,2m46.2s
SP1-AVX2,1000000,2m41.8s
SP1-AVX2-Groth16,1000000,2m42.8s
Risc0,1000000,59m13.3s
