Prover,N,Time
SP1-AVX2,100,21.5s
SP1-AVX2-Groth16,100,57.2s
Risc0,100,7.3s
SP1-AVX2,1000,21.8s
SP1-AVX2-Groth16,1000,1m2.6s
Risc0,1000,7.5s
SP1-AVX2,10000,22.0s
SP1-AVX2-Groth16,10000,1m1.6s
Risc0,10000,11.0s
SP1-AVX2,100000,22.6s
SP1-AVX2-Groth16,100000,1m2.6s
Risc0,100000,43.5s
SP1-AVX2,1000000,33.1s
SP1-AVX2-Groth16,1000000,1m12.7s
Risc0,1000000,6m8.0s
SP1-AVX2,10000000,2m22.0s
SP1-AVX2-Groth16,10000000,3m2.9s
Risc0,10000000,64m31.4s
SP1-AVX2,100000000,20m24.4s
SP1-AVX2-Groth16,100000000,24m23.7s
