Prover,N,Time,Size
RSP SP1-Compressed,1,54.5s,1477238
RSP SP1-Groth16,1,1m32.7s,1447
RSP SP1-Core,1,52.9s,42328347
RSP SP1-Compressed,3,1m52.0s,1477238
RSP SP1-Groth16,3,2m30.0s,1446
RSP SP1-Core,3,1m48.1s,94321325
RSP SP1-Compressed,9,4m18.3s,1477238
RSP SP1-Groth16,9,4m56.4s,1446
RSP SP1-Core,9,4m12.8s,228126070
RSP SP1-Compressed,18,7m16.8s,1477238
RSP SP1-Groth16,18,7m56.9s,1446
RSP SP1-Core,18,7m12.0s,404672491
RSP SP1-Compressed,27,3m32.8s,1477238
RSP SP1-Groth16,27,4m11.8s,1447
RSP SP1-Core,27,3m26.9s,186825490
RSP SP1-Compressed,36,14m31.9s,1477238
RSP SP1-Groth16,36,15m16.2s,1446
RSP SP1-Core,36,14m42.2s,824087787
